* x=0.6
* SLAC E139
* A	ratio    eratio    norm  edeut
4	0.939	0.016	0.022	0.01
9	0.930	0.008	0.007	0.01
12	0.908	0.007	0.007	0.01
27	0.904	0.007	0.007	0.01
40	0.901	0.008	0.009	0.01
56	0.874	0.007	0.010	0.01
108	0.871	0.009	0.011	0.01
197	0.848	0.008	0.023	0.01
