* x=0.36-0.68
* SLAC E139 slop
* A	slope    slope
*2       0.0     0.010 
4	0.191	0.061
9	0.208	0.038
12	0.318	0.041
27	0.325	0.034
40	0.350	0.047
56	0.388	0.032
108	0.496	0.051
197	0.409	0.039

