 0.0060036   0.2583029   0.0000000   0.0000000   0.0000000   0.0000000
 0.0074975   0.3180783   0.0000000   0.0000000   0.0000000   0.0000000
 0.0089794   0.3747299   0.0000000   0.0000000   0.0000000   0.0000000
 0.0125117   0.4979131   1.0656724   0.1388102   4.5738955   2.9579015
 0.0174856   0.6599202   1.0113156   0.0771386   3.8324094   1.8869462
 0.0248742   0.8722038   1.0264486   0.0379095   3.4652605   0.8071700
 0.0348726   1.1240113   0.9825115   0.0204843   1.7020295   0.3287416
 0.0448827   1.3408844   0.9887272   0.0185919   1.8351051   0.3420981
 0.0548626   1.5273952   1.0203452   0.0181573   2.0630646   0.3871299
 0.0695986   1.7582992   1.0230037   0.0130660   1.7236303   0.2670368
 0.0896799   2.0162683   1.0491391   0.0149660   1.7375313   0.3936660
 0.1232378   2.3416326   1.0346055   0.0065404   1.1797793   0.2369714
 0.1733321   2.7036679   1.0344948   0.0069957   0.8349096   0.3303330
 0.2472125   3.1003313   1.0156850   0.0058040   2.2613862   0.9110606
 0.3741645   4.1378021   0.9812973   0.0080249   2.7298405   1.8381819
 0.5622365   6.6998262   0.0000000   0.0000000   0.0000000   0.0000000
