0	0	0	0
0	0	0	0
0	0	0	0
   0.0125   0.4997   0.2794   0.1259
   0.0175   0.6549   0.3139   0.1029
   0.0250   0.9031   0.3365   0.1035
   0.0350   1.2470   0.3401   0.0933
   0.0450   1.4510   0.3352   0.0819
   0.0550   1.5790   0.3296   0.0733
   0.0700   1.8580   0.3182   0.0612
   0.0900   2.0790   0.3051   0.0568
   0.1250   2.3680   0.2819   0.0543
   0.1750   2.7100   0.2442   0.0539
   0.2500   3.1910   0.1953   0.0409
   0.3500   4.4500   0.1388   0.0366
   0.5500   7.7980   0.0822   0.0390                                           
