*SLAC E139 Q2=5/2
*C/D: \DElta=0.7%
* x   Q2 eps Rat erat
0.22	5.0	0.539	0.999	0.013
0.30	5.0	0.688	1.009	0.015
0.40	5.0	0.723	0.977	0.009
0.50	5.0	0.828	0.944	0.010
0.60	5.0	0.881	0.910	0.008
0.60	10.0	0.763	0.900	0.013
0.70	5.0	0.910	0.885	0.008

